id,clean_text,Political,Economic,Technical,Market,Other,,
0,year-long downtrend is being tested$BTC,0,0,0,1,0,,
1,is now challenging its year-long downtrend resistanceWhat are the chances for a breakout?Checkout the new,0,0,0,1,0,,
2,enjoyed a picture-perfect retest of the red diagonalA rebound followed afterwardsHowever $BTC is still str,0,0,0,1,0,,
3,: The special th edition of the Rekt Capital newsletter is out now!It features TA requests from subscribers of the new,0,1,0,0,0,,
4,The special th edition of the Rekt Capital newsletter is out now!It features TA requests from subscribers of,0,1,0,0,0,,
5,The th edition of the Rekt Capital Altcoin Newsletter is coming out later today It will feature my exclusive,0,1,0,0,0,,
6,": .What price point would reach if BTC were to repeat a % crash post-Death Cross?This would result in a ~$13,8",0,0,0,1,0,,
7,: Will Altcoins Continue to Underperform In The Coming Weeks?I just published a new edition of the RC newsletter where I d,0,0,0,0,1,,
8,Will Altcoins Continue to Underperform In The Coming Weeks?I just published a new edition of the RC newsletter wh,0,0,0,0,1,,
9,Some dipping is taking place which may be a part of a technical retest of the red diagonal resistance into sup,0,0,0,1,0,,
10,": When peaked in the Bull Market, it took BTC days to bottomWhen $BTC peaked in the , it took BTC da",0,0,0,1,0,,
11,"Of course, there is still some scope for potential downside for register its absolute bottomBut definitel",0,0,0,1,0,,
12,: Is becoming bullish in the short-term?I just published a new edition of the Rekt Capital Newsletter addressing this,0,0,0,1,0,,
13,": According the Three Macro Triangles, is now in the Final Bottoming Out phase in an effort to form a generational Bear",0,0,0,1,0,,
14,": Historically, has bottomed -547 days before its HalvingIf $BTC is to bottom days pre-2024 Halving, a bottom",0,1,0,0,0,,
15,: A brief history of rallies prior to and after the Halving eventre-Halving : +636%Post-Halving : +8950%Pre-Ha,0,0,0,0,1,,
16,: I'm excited to announce my biggest course sale ever... Get all Rekt Capital courses for affordable priceTotal comb,0,0,0,0,1,,
17,Today is the final day you can get my Rekt Masterclass Course Bundle for only $299This is the biggest offer Ive,0,0,0,0,1,,
18,"Over the years, there is a clear diminishing returns in post-Halving ralliesWhich is why the skillset of tim",0,1,0,0,0,,
